sales_year,product_name,yearly_sales,avg_yearly_sales,variance_from_avg,avg_performance_flag,prior_year_sales,yoy_difference,yoy_trend
2013,Road-250 Black- 52,351792,244808,106984,Above Avg,378269,-26477,Decrease
2011,Road-250 Black- 58,2182,207342,-205160,Below Avg,NULL,NULL,No Change
2012,Road-250 Black- 58,316912,207342,109570,Above Avg,2182,314730,Increase
2013,Road-250 Black- 58,302932,207342,95590,Above Avg,316912,-13980,Decrease
2011,Road-250 Red- 44,4886,175896,-171010,Below Avg,NULL,NULL,No Change
2012,Road-250 Red- 44,346906,175896,171010,Above Avg,4886,342020,Increase
2011,Road-250 Red- 48,7329,197883,-190554,Below Avg,NULL,NULL,No Change
2012,Road-250 Red- 48,388437,197883,190554,Above Avg,7329,381108,Increase
2011,Road-250 Red- 52,2443,162459,-160016,Below Avg,NULL,NULL,No Change
2012,Road-250 Red- 52,322476,162459,160017,Above Avg,2443,320033,Increase
2011,Road-250 Red- 58,6546,234222,-227676,Below Avg,NULL,NULL,No Change
2012,Road-250 Red- 58,376087,234222,141865,Above Avg,6546,369541,Increase
2013,Road-250 Red- 58,320033,234222,85811,Above Avg,376087,-56054,Decrease
2012,Road-350-W Yellow- 40,1701,209223,-207522,Below Avg,NULL,NULL,No Change
2013,Road-350-W Yellow- 40,416745,209223,207522,Above Avg,1701,415044,Increase
2012,Road-350-W Yellow- 42,5103,199867,-194764,Below Avg,NULL,NULL,No Change
2013,Road-350-W Yellow- 42,394632,199867,194765,Above Avg,5103,389529,Increase
2013,Road-350-W Yellow- 44,367416,367416,0,Avg,NULL,NULL,No Change
2012,Road-350-W Yellow- 48,1701,197316,-195615,Below Avg,NULL,NULL,No Change
2013,Road-350-W Yellow- 48,392931,197316,195615,Above Avg,1701,391230,Increase
2011,Road-550-W Yellow- 38,1000,97920,-96920,Below Avg,NULL,NULL,No Change
2012,Road-550-W Yellow- 38,71000,97920,-26920,Below Avg,1000,70000,Increase
2013,Road-550-W Yellow- 38,221760,97920,123840,Above Avg,71000,150760,Increase
2012,Road-550-W Yellow- 40,68120,144940,-76820,Below Avg,NULL,NULL,No Change
2013,Road-550-W Yellow- 40,221760,144940,76820,Above Avg,68120,153640,Increase
2011,Road-550-W Yellow- 42,1000,111480,-110480,Below Avg,NULL,NULL,No Change
2012,Road-550-W Yellow- 42,68000,111480,-43480,Below Avg,1000,67000,Increase
2013,Road-550-W Yellow- 42,265440,111480,153960,Above Avg,68000,197440,Increase
2012,Road-550-W Yellow- 44,78120,156100,-77980,Below Avg,NULL,NULL,No Change
2013,Road-550-W Yellow- 44,234080,156100,77980,Above Avg,78120,155960,Increase
2012,Road-550-W Yellow- 48,74240,141840,-67600,Below Avg,NULL,NULL,No Change
2013,Road-550-W Yellow- 48,209440,141840,67600,Above Avg,74240,135200,Increase
2011,Road-650 Black- 44,14679,23782,-9103,Below Avg,NULL,NULL,No Change
2012,Road-650 Black- 44,32886,23782,9104,Above Avg,14679,18207,Increase
2011,Road-650 Black- 48,11883,22776,-10893,Below Avg,NULL,NULL,No Change
2012,Road-650 Black- 48,33669,22776,10893,Above Avg,11883,21786,Increase
2011,Road-650 Black- 52,23067,33457,-10390,Below Avg,NULL,NULL,No Change
2012,Road-650 Black- 52,43848,33457,10391,Above Avg,23067,20781,Increase
2011,Road-650 Black- 58,12582,28998,-16416,Below Avg,NULL,NULL,No Change
2012,Road-650 Black- 58,45414,28998,16416,Above Avg,12582,32832,Increase
2011,Road-650 Black- 60,19572,28578,-9006,Below Avg,NULL,NULL,No Change
2012,Road-650 Black- 60,37584,28578,9006,Above Avg,19572,18012,Increase
2010,Road-650 Black- 62,699,16349,-15650,Below Avg,NULL,NULL,No Change
2011,Road-650 Black- 62,14679,16349,-1670,Below Avg,699,13980,Increase
2012,Road-650 Black- 62,33669,16349,17320,Above Avg,14679,18990,Increase
2011,Road-650 Red- 44,15378,27264,-11886,Below Avg,NULL,NULL,No Change
2012,Road-650 Red- 44,39150,27264,11886,Above Avg,15378,23772,Increase
2011,Road-650 Red- 48,18957,33360,-14403,Below Avg,NULL,NULL,No Change
2012,Road-650 Red- 48,47763,33360,14403,Above Avg,18957,28806,Increase
2010,Road-650 Red- 52,699,15361,-14662,Below Avg,NULL,NULL,No Change
2011,Road-650 Red- 52,14064,15361,-1297,Below Avg,699,13365,Increase
2012,Road-650 Red- 52,31320,15361,15959,Above Avg,14064,17256,Increase
2011,Road-650 Red- 58,13281,28173,-14892,Below Avg,NULL,NULL,No Change
2012,Road-650 Red- 58,43065,28173,14892,Above Avg,13281,29784,Increase
2011,Road-650 Red- 60,11883,20035,-8152,Below Avg,NULL,NULL,No Change
2012,Road-650 Red- 60,28188,20035,8153,Above Avg,11883,16305,Increase
2011,Road-650 Red- 62,11967,28690,-16723,Below Avg,NULL,NULL,No Change
2012,Road-650 Red- 62,45414,28690,16724,Above Avg,11967,33447,Increase
2012,Road-750 Black- 44,1620,97200,-95580,Below Avg,NULL,NULL,No Change
2013,Road-750 Black- 44,192780,97200,95580,Above Avg,1620,191160,Increase
2012,Road-750 Black- 48,1080,98010,-96930,Below Avg,NULL,NULL,No Change
2013,Road-750 Black- 48,194940,98010,96930,Above Avg,1080,193860,Increase
2012,Road-750 Black- 52,2160,104220,-102060,Below Avg,NULL,NULL,No Change
2013,Road-750 Black- 52,206280,104220,102060,Above Avg,2160,204120,Increase
2012,Road-750 Black- 58,1080,90180,-89100,Below Avg,NULL,NULL,No Change
2013,Road-750 Black- 58,179280,90180,89100,Above Avg,1080,178200,Increase
2012,Short-Sleeve Classic Jersey- L,108,6732,-6624,Below Avg,NULL,NULL,No Change
2013,Short-Sleeve Classic Jersey- L,19764,6732,13032,Above Avg,108,19656,Increase
2014,Short-Sleeve Classic Jersey- L,324,6732,-6408,Below Avg,19764,-19440,Decrease
2012,Short-Sleeve Classic Jersey- M,54,7326,-7272,Below Avg,NULL,NULL,No Change
2013,Short-Sleeve Classic Jersey- M,20790,7326,13464,Above Avg,54,20736,Increase
2014,Short-Sleeve Classic Jersey- M,1134,7326,-6192,Below Avg,20790,-19656,Decrease
2012,Short-Sleeve Classic Jersey- S,54,7308,-7254,Below Avg,NULL,NULL,No Change
2013,Short-Sleeve Classic Jersey- S,21384,7308,14076,Above Avg,54,21330,Increase
2014,Short-Sleeve Classic Jersey- S,486,7308,-6822,Below Avg,21384,-20898,Decrease
2013,Short-Sleeve Classic Jersey- XL,21168,11043,10125,Above Avg,NULL,NULL,No Change
2014,Short-Sleeve Classic Jersey- XL,918,11043,-10125,Below Avg,21168,-20250,Decrease
2012,Sport-100 Helmet- Black,210,24325,-24115,Below Avg,NULL,NULL,No Change
2013,Sport-100 Helmet- Black,69895,24325,45570,Above Avg,210,69685,Increase
2014,Sport-100 Helmet- Black,2870,24325,-21455,Below Avg,69895,-67025,Decrease
2012,Sport-100 Helmet- Blue,350,24791,-24441,Below Avg,NULL,NULL,No Change
2013,Sport-100 Helmet- Blue,71050,24791,46259,Above Avg,350,70700,Increase
2014,Sport-100 Helmet- Blue,2975,24791,-21816,Below Avg,71050,-68075,Decrease
2012,Sport-100 Helmet- Red,350,26016,-25666,Below Avg,NULL,NULL,No Change
2013,Sport-100 Helmet- Red,75145,26016,49129,Above Avg,350,74795,Increase
2014,Sport-100 Helmet- Red,2555,26016,-23461,Below Avg,75145,-72590,Decrease
2012,Touring Tire,58,9038,-8980,Below Avg,NULL,NULL,No Change
2013,Touring Tire,25607,9038,16569,Above Avg,58,25549,Increase
2014,Touring Tire,1450,9038,-7588,Below Avg,25607,-24157,Decrease
2012,Touring Tire Tube,10,2478,-2468,Below Avg,NULL,NULL,No Change
2013,Touring Tire Tube,7010,2478,4532,Above Avg,10,7000,Increase
2014,Touring Tire Tube,415,2478,-2063,Below Avg,7010,-6595,Decrease
2012,Touring-1000 Blue- 46,4768,210984,-206216,Below Avg,NULL,NULL,No Change
2013,Touring-1000 Blue- 46,417200,210984,206216,Above Avg,4768,412432,Increase
2012,Touring-1000 Blue- 50,2384,178800,-176416,Below Avg,NULL,NULL,No Change
2013,Touring-1000 Blue- 50,355216,178800,176416,Above Avg,2384,352832,Increase
2013,Touring-1000 Blue- 54,381440,381440,0,Avg,NULL,NULL,No Change
2012,Touring-1000 Blue- 60,2384,175224,-172840,Below Avg,NULL,NULL,No Change
2013,Touring-1000 Blue- 60,348064,175224,172840,Above Avg,2384,345680,Increase
2013,Touring-1000 Yellow- 46,410048,410048,0,Avg,NULL,NULL,No Change
2012,Touring-1000 Yellow- 50,4768,179992,-175224,Below Avg,NULL,NULL,No Change
2013,Touring-1000 Yellow- 50,355216,179992,175224,Above Avg,4768,350448,Increase
2013,Touring-1000 Yellow- 54,376672,376672,0,Avg,NULL,NULL,No Change
2013,Touring-1000 Yellow- 60,333760,333760,0,Avg,NULL,NULL,No Change
2012,Touring-2000 Blue- 46,2430,58927,-56497,Below Avg,NULL,NULL,No Change
2013,Touring-2000 Blue- 46,115425,58927,56498,Above Avg,2430,112995,Increase
2012,Touring-2000 Blue- 50,1215,64395,-63180,Below Avg,NULL,NULL,No Change
2013,Touring-2000 Blue- 50,127575,64395,63180,Above Avg,1215,126360,Increase
2013,Touring-2000 Blue- 54,106920,106920,0,Avg,NULL,NULL,No Change
2012,Touring-2000 Blue- 60,1215,49207,-47992,Below Avg,NULL,NULL,No Change
2013,Touring-2000 Blue- 60,97200,49207,47993,Above Avg,1215,95985,Increase
2013,Touring-3000 Blue- 44,39326,39326,0,Avg,NULL,NULL,No Change
2013,Touring-3000 Blue- 50,35616,35616,0,Avg,NULL,NULL,No Change
2012,Touring-3000 Blue- 54,742,20405,-19663,Below Avg,NULL,NULL,No Change
2013,Touring-3000 Blue- 54,40068,20405,19663,Above Avg,742,39326,Increase
2013,Touring-3000 Blue- 58,42294,42294,0,Avg,NULL,NULL,No Change
2013,Touring-3000 Blue- 62,47488,47488,0,Avg,NULL,NULL,No Change
2013,Touring-3000 Yellow- 44,43778,43778,0,Avg,NULL,NULL,No Change
2013,Touring-3000 Yellow- 50,43778,43778,0,Avg,NULL,NULL,No Change
2013,Touring-3000 Yellow- 54,35616,35616,0,Avg,NULL,NULL,No Change
2012,Touring-3000 Yellow- 58,1484,17437,-15953,Below Avg,NULL,NULL,No Change
2013,Touring-3000 Yellow- 58,33390,17437,15953,Above Avg,1484,31906,Increase
2013,Touring-3000 Yellow- 62,37100,37100,0,Avg,NULL,NULL,No Change
2012,Water Bottle - 30 oz.,90,7081,-6991,Below Avg,NULL,NULL,No Change
2013,Water Bottle - 30 oz.,20425,7081,13344,Above Avg,90,20335,Increase
2014,Water Bottle - 30 oz.,730,7081,-6351,Below Avg,20425,-19695,Decrease
2013,Women's Mountain Shorts- L,23800,12705,11095,Above Avg,NULL,NULL,No Change
2014,Women's Mountain Shorts- L,1610,12705,-11095,Below Avg,23800,-22190,Decrease
2013,Women's Mountain Shorts- M,23380,12320,11060,Above Avg,NULL,NULL,No Change
2014,Women's Mountain Shorts- M,1260,12320,-11060,Below Avg,23380,-22120,Decrease
2013,Women's Mountain Shorts- S,20230,10640,9590,Above Avg,NULL,NULL,No Change
2014,Women's Mountain Shorts- S,1050,10640,-9590,Below Avg,20230,-19180,Decrease
